INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,PERSON_AGE,PERSON_RACE,MENTAL_HEALTH_CONCERNS,CRIMINAL_HISTORY,WOUNDED,DECEASED,ON_PROBATION,ON_PAROLE,UNDER_THE_INFLUENCE,SUBSTANCE_NAME,#_INVOLVED_DEPUTIES,WEAPON_INVOLVED_CATEGORY,WEAPON_INVOLVED_CAT_DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1001711,HIT SHOOTING INCIDENT,6/14/19 19:00,34000 133RD STREET EAST,PALMDALE,CA,93553,2660,"34000 133RD STREET EAST
PALMDALE, CA 93553
(34.50279, -117.89314)",35,W,,,Y,,,,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.50279,-117.89314
1000468,HIT SHOOTING INCIDENT,11/1/13 3:03,7400 JACKSON STREET,PARAMOUNT,CA,90723,1368,"7400 JACKSON STREET
PARAMOUNT, CA 90723
(33.885488, -118.169069)",27,HISPANIC,N,Y,N,Y,Y,Y,N,,3,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.885488,-118.169069
1000517,HIT SHOOTING INCIDENT,3/12/15 18:36,2400 FLOWER STREET,WALNUT PARK,CA,90255,2178,"2400 FLOWER STREET
WALNUT PARK, CA 90255
(33.971357, -118.230225)",30,HISPANIC,N,N,N,Y,Y,N,Y,COMBINATION,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.971357,-118.230225
1000318,HIT SHOOTING INCIDENT,10/10/10 0:23,LONG BEACH BLVD. AND JOSEPHINE STREET,LYNWOOD,CA,90262,2117,"LONG BEACH BLVD. AND JOSEPHINE STREET
LYNWOOD, CA 90262
(33.92126399268968, -118.20953801765012)",20,HISPANIC,N,N,N,Y,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.92126399,-118.209538
1000653,HIT SHOOTING INCIDENT,10/16/15 1:18,800 ASHCOMB DRIVE,LA PUENTE,CA,91744,1441,"800 ASHCOMB DRIVE
LA PUENTE, CA 91744
(34.032124, -117.916579)",25,HISPANIC,N,,N,Y,,,,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.032124,-117.916579
1000339,HIT SHOOTING INCIDENT,2/11/11 14:35,EAST 60 FREEWAY AND SANTA ANITA AVENUE,SOUTH EL MONTE,CA,91773,562,"EAST 60 FREEWAY AND SANTA ANITA AVENUE
SOUTH EL MONTE, CA 91773
(34.03984599003457, -118.05171500598513)",25,HISPANIC,N,N,Y,N,N,N,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.03984599,-118.051715
1001788,NON-HIT SHOOTING INCIDENT,10/24/19 7:00,11500 DONA TERESA DRIVE,STIUDIO CITY,CA,91604,999,"11500 DONA TERESA DRIVE
STIUDIO CITY, CA 91604
(34.131119, -118.385673)",26,BLACK,N,N,,,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.131119,-118.385673
1000485,HIT SHOOTING INCIDENT,4/25/14 23:06,3800 56TH STREET,MAYWOOD,CA,90270,250,"3800 56TH STREET
MAYWOOD, CA 90270
(33.991214, -118.196155)",42,HISPANIC,N,N,N,Y,N,N,Y,ALCOHOL,2,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.991214,-118.196155
1000472,NON-HIT SHOOTING INCIDENT,12/4/13 7:35,1700 NORTH GRAMERCY PLACE,LOS ANGELES,CA,90028,973,"1700 NORTH GRAMERCY PLACE
LOS ANGELES, CA 90028
(34.101714, -118.312239)",46,WHITE,N,Y,N,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.101714,-118.312239
1000340,HIT SHOOTING INCIDENT,2/14/11 20:15,SUNOL DRIVE AND BOSWELL PLACE,LOS ANGELES,CA,90063,278,"SUNOL DRIVE AND BOSWELL PLACE
LOS ANGELES, CA 90063
(34.01766998786856, -118.17897601662108)",31,HISPANIC,N,Y,Y,N,Y,Y,N,,3,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.01766999,-118.178976
1000691,NON-HIT SHOOTING INCIDENT,2/19/15 14:10,15700 FOOTHILL BOULEVARD,AZUSA,CA,91702,8332,"15700 FOOTHILL BOULEVARD
AZUSA, CA 91702
(34.133448, -117.891295)",50,WHITE,N,Y,,,N,N,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.133448,-117.891295
1000314,HIT SHOOTING INCIDENT,10/1/10 12:45,43200 18TH STREET WEST,LANCASTER,CA,93534,1126,"43200 18TH STREET WEST
LANCASTER, CA 93534
(34.66809, -118.163453)",30,HISPANIC,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.66809,-118.163453
1000943,HIT SHOOTING INCIDENT,12/17/16 1:16,900 S LA VERNE AVENUE,LOS ANGELES,CA,90022,284,"900 S LA VERNE AVENUE
LOS ANGELES, CA 90022
(34.021481, -118.162663)",33,HISPANIC,N,N,N,Y,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.021481,-118.162663
1001625,HIT SHOOTING INCIDENT,10/27/18 3:30,10600 BURIN AVE.,LENNOX,CA,90304,381,"10600 BURIN AVE.
LENNOX, CA 90304
(33.94182, -118.352775)",21,HISPANIC,N,N,Y,N,,,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.94182,-118.352775
1000678,HIT SHOOTING INCIDENT,1/12/16 17:45,1100 WEST AVENUE,LANCASTER,CA,93534,1121,"1100 WEST AVENUE
LANCASTER, CA 93534
(34.715187, -118.149901)",21,BLACK,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.715187,-118.149901
1000810,HIT SHOOTING INCIDENT,7/28/16 2:30,800 WEST STOCKWELL AVENUE,COMPTON,CA,90222,2812,"800 WEST STOCKWELL AVENUE
COMPTON, CA 90222
(33.90905, -118.23924)",27,BLACK,N,N,N,Y,N,N,N,,4,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.90905,-118.23924
1000332,NON-HIT SHOOTING INCIDENT,12/1/10 19:22,1700 WILMINGTON BLVD,WILMINGTON,CA,90744,1628,"1700 WILMINGTON BLVD
WILMINGTON, CA 90744
(33.796885, -118.275242)",25,HISPANIC,N,Y,N,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.796885,-118.275242
1000874,HIT SHOOTING INCIDENT,9/8/16 18:13,2400 PACIFIC COAST HIGHWAY,LOMITA,CA,90717,1714,"2400 PACIFIC COAST HIGHWAY
LOMITA, CA 90717
(33.789566, -118.32553)",30,WHITE,N,Y,Y,N,Y,Y,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.789566,-118.32553
1000918,HIT SHOOTING INCIDENT,11/22/16 9:12,13500 BEACH BLVD,LA MIRADA,CA,92833,468,"13500 BEACH BLVD
LA MIRADA, CA 92833
(33.901854, -117.983398)",45,WHITE,Y,Y,N,Y,Y,N,Y,ALCOHOL,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.901854,-117.983398
1000376,HIT SHOOTING INCIDENT,12/27/11 18:43,29300 GOLDEN MEADOW DR,RANCHO PALOS VERDES,CA,90275,1735,"29300 GOLDEN MEADOW DR
RANCHO PALOS VERDES, CA 90275
(33.76871, -118.403184)",48,WHITE,Y,Y,N,Y,Y,N,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.76871,-118.403184
1001099,HIT SHOOTING INCIDENT,3/20/17 7:25,8800 E LAS TUNAS DRIVE,TEMPLE CITY,CA,91780,522,"8800 E LAS TUNAS DRIVE
TEMPLE CITY, CA 91780
(34.103015, -118.07549)",47,WHITE,N,Y,N,Y,N,N,N,,3,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.103015,-118.07549
1000429,HIT SHOOTING INCIDENT,12/23/12 7:01,7700 NORWALK BLVD,WHITTIER,CA,90606,1278,"7700 NORWALK BLVD
WHITTIER, CA 90606
(33.975299, -118.075184)",35,WHITE,N,N,N,Y,N,N,Y,OTHER/UNKNOWN,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.975299,-118.075184
1001549,NON-HIT SHOOTING INCIDENT,8/17/18 23:15,900 THORSON AVENUE,COMPTON,CA,90221,2826,"900 THORSON AVENUE
COMPTON, CA 90221
(33.888762, -118.199638)",19,BLACK,N,N,,,,,,,1,,,33.888762,-118.199638
1000503,NON-HIT SHOOTING INCIDENT,2/2/15 8:46,OAKRIVER LANE AND  OAKHURST DRIVE,NEWHALL,CA,91321,664,"OAKRIVER LANE AND OAKHURST DRIVE
NEWHALL, CA 91321
(34.37005299460936, -118.50815597679114)",30,WHITE,N,Y,N,N,Y,Y,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.37005299,-118.508156
1001748,HIT SHOOTING INCIDENT,8/1/19 1:00,7100 BRYNHURST AVENUE,LOS ANGELES,CA,90043,399,"7100 BRYNHURST AVENUE
LOS ANGELES, CA 90043
(33.975651, -118.333818)",21,BLACK,N,N,,Y,,,,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.975651,-118.333818
1000310,HIT SHOOTING INCIDENT,7/9/10 2:50,20400 SOLEDAD CANYON ROAD,CANYON COUNTRY,CA,91351,610,"20400 SOLEDAD CANYON ROAD
CANYON COUNTRY, CA 91351
(34.421681, -118.491432)",41,HISPANIC,Y,N,Y,N,N,N,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.421681,-118.491432
1001322,HIT SHOOTING INCIDENT,11/2/17 16:30,2100 SHAUER STREET,WILLOWBROOK,CA,90222,2136,"2100 SHAUER STREET
WILLOWBROOK, CA 90222
(33.910983, -118.231595)",20,HISPANIC,Y,Y,N,Y,Y,N,Y,CNS STIMULANT,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.910983,-118.231595
1000677,HIT SHOOTING INCIDENT,1/4/16 21:00,15800 S. TARRANT AVENUE,COMPTON,CA,90220,2873,"15800 S. TARRANT AVENUE
COMPTON, CA 90220
(33.887127, -118.262318)",31,BLACK,N,Y,Y,N,Y,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.887127,-118.262318
1000439,HIT SHOOTING INCIDENT,4/29/13 10:20,500 FAIR VIEW AVENUE,LOS ANGELES,CA,90022,286,"500 FAIR VIEW AVENUE
LOS ANGELES, CA 90022
(34.053313, -118.220551)",35,HISPANIC,N,Y,N,Y,Y,Y,Y,PCP OR KETAMINE,6,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.053313,-118.220551
1002032,HIT SHOOTING INCIDENT,12/19/20 18:49,4400 W. 104TH STREET,LOS ANGELES,CA,90304,331,"4400 W. 104TH STREET
LOS ANGELES, CA 90304
(33.941827, -118.353791)",32,HISPANIC,N,N,,Y,,,,,5,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.941827,-118.353791
